Date,DAILY_AQI_VALUE
2014-06-02,45
2014-06-03,32
2014-06-04,36
2014-06-05,33
2014-06-06,25
2014-06-07,18
2014-06-08,22
2014-06-09,18
2014-06-10,23
2014-06-11,23
2014-06-12,15
2014-06-13,20
2014-06-14,29
2014-06-15,16
2014-06-16,15
2014-06-17,22
2014-06-18,24
2014-06-19,17
2014-06-20,13
2014-06-21,19
2014-06-22,24
2014-06-23,25
2014-06-24,11
2014-06-25,25
2014-06-26,18
2014-06-27,10
2014-06-28,10
2014-06-29,12
2014-06-30,23
2014-07-01,36
2014-07-02,25
2014-07-03,13
2014-07-04,30
2014-07-05,62
2014-07-06,34
2014-07-07,33
2014-07-08,22
2014-07-09,25
2014-07-10,25
2014-07-11,37
2014-07-12,51
2014-07-13,50
2014-07-14,30
2014-07-15,40
2014-07-16,35
2014-07-17,34
2014-07-18,35
2014-07-19,11
2014-07-20,13
2014-07-21,21
2014-07-22,32
2014-07-23,30
2014-07-24,14
2014-07-25,18
2014-07-26,20
2014-07-27,24
2014-07-28,28
2014-07-29,19
2014-07-30,20
2014-07-31,20
2014-08-01,32
2014-08-02,55
2014-08-03,44
2014-08-04,40
2014-08-05,22
2014-08-06,20
2014-08-07,27
2014-08-08,27
2014-08-09,21
2014-08-10,34
2014-08-11,60
2014-08-12,56
2014-08-13,13
2014-08-14,30
2014-08-15,35
2014-08-16,30
2014-08-17,34
2014-08-18,33
2014-08-19,30
2014-08-20,28
2014-08-21,30
2014-08-22,38
2014-08-23,55
2014-08-24,57
2014-08-25,54
2014-08-26,54
2014-08-27,45
2014-08-28,14
2014-08-29,15
2014-08-30,18
2014-08-31,19
2014-09-01,22
2014-09-02,12
2014-09-03,23
2014-09-04,25
2014-09-05,26
2014-09-06,35
2014-09-07,45
2014-09-08,20
2014-09-09,20
2014-09-10,24
2014-09-11,13
2014-09-12,15
2014-09-13,29
2014-09-14,40
2014-09-15,58
2014-09-16,43
2014-09-17,52
2014-09-18,33
2014-09-19,18
2014-09-20,26
2014-09-21,28
2014-09-22,13
2014-09-23,27
2014-09-24,15
2014-09-25,17
2014-09-26,14
2014-09-27,25
2014-09-28,42
2014-09-29,28
2014-09-30,20
2014-10-01,25
2014-10-02,34
2014-10-03,41
2014-10-04,60
2014-10-05,56
2014-10-06,37
2014-10-07,50
2014-10-08,37
2014-10-09,39
2014-10-10,28
2014-10-11,14
2014-10-12,25
2014-10-13,25
2014-10-14,18
2014-10-15,14
2014-10-16,14
2014-10-17,17
2014-10-18,16
2014-10-19,20
2014-10-20,18
